iter	RMSE
0	74083.48944
1	69147.94329
2	65067.75434
3	61192.93587
4	57975.5542
5	55248.94152
6	52650.88895
7	50034.19127
8	47955.193
9	46093.15523
10	44247.09794
11	42639.4728
12	41154.44684
13	39863.33864
14	38562.5546
15	37398.51193
16	36518.25892
17	35495.52196
18	34842.1016
19	34100.75439
20	33376.13373
21	32724.76272
22	32054.55359
23	31529.9933
24	30914.72246
25	30431.49747
26	29956.81795
27	29507.96162
28	29105.45083
29	28693.30128
30	28347.99657
31	27924.9236
32	27626.28742
33	27259.12631
34	26968.56473
35	26631.9988
36	26351.09337
37	26036.30715
38	25807.7723
39	25489.0664
40	25318.82503
41	25118.62993
42	24850.65336
43	24613.38711
44	24400.52539
45	24141.29939
46	24030.93852
47	23886.54419
48	23591.05327
49	23389.11277
50	23246.05273
51	23069.55134
52	22942.55724
53	22794.0296
54	22641.1088
55	22568.48023
56	22453.67728
57	22328.66351
58	22177.1943
59	22055.54751
60	21898.46154
61	21854.75178
62	21735.2958
63	21616.97982
64	21508.26139
65	21382.6884
66	21301.64759
67	21218.34641
68	21115.05006
69	20997.7078
70	20924.41887
71	20819.9652
72	20681.9908
73	20566.33164
74	20462.21939
75	20358.93444
76	20261.0017
77	20172.28913
78	20066.90118
79	19983.19467
80	19902.5283
81	19856.20955
82	19734.66424
83	19663.43868
84	19560.9824
85	19521.05186
86	19442.60305
87	19369.14076
88	19289.10121
89	19227.86127
90	19170.17613
91	19145.19171
92	19117.61151
93	19041.63318
94	18957.07309
95	18879.54042
96	18807.01401
97	18713.88876
98	18649.34175
99	18623.9747
100	18600.81564
101	18522.57589
102	18470.18142
103	18385.44067
104	18322.75145
105	18278.47782
106	18254.40368
107	18218.60782
108	18186.47059
109	18134.46755
110	18122.02213
111	18045.04475
112	18009.85651
113	17975.74544
114	17931.98564
115	17860.85157
116	17800.47374
117	17744.51115
118	17669.74797
119	17608.98312
120	17568.72339
121	17544.30059
122	17463.55252
123	17369.93996
124	17342.88821
125	17316.73702
126	17265.61319
127	17221.7958
128	17180.27758
129	17131.26866
130	17057.4224
131	17020.57563
132	16975.07239
133	16910.39444
134	16861.65619
135	16810.46355
136	16764.81198
137	16726.67603
138	16709.45605
139	16644.918
140	16583.84056
141	16540.99081
142	16488.35552
143	16433.13588
144	16425.92914
145	16358.33807
146	16317.05845
147	16294.33925
148	16265.93613
149	16207.53039
150	16162.4648
151	16114.76359
152	16108.98127
153	16076.7505
154	16021.16376
155	15961.11013
156	15950.51796
157	15940.89387
158	15915.91907
159	15884.49715
160	15853.76554
161	15832.00523
162	15812.30375
163	15749.38049
164	15685.9217
165	15668.03424
166	15628.54267
167	15581.40883
168	15576.1471
169	15567.13394
170	15539.383
171	15500.48814
172	15467.87352
173	15412.55113
174	15369.94628
175	15336.24978
176	15288.35193
177	15267.2962
178	15258.9581
179	15214.97906
180	15210.19105
181	15202.64231
182	15189.78529
183	15171.47981
184	15146.411
185	15123.81748
186	15094.12757
187	15089.62386
188	15029.19307
189	14997.30892
190	14960.53032
191	14924.34531
192	14902.0617
193	14877.93637
194	14847.65625
195	14795.16794
196	14764.99219
197	14713.63104
198	14683.52491
199	14624.70972
200	14592.89769
201	14572.51181
202	14551.44955
203	14547.33973
204	14521.22295
205	14489.4956
206	14465.24207
207	14415.64425
208	14363.55539
209	14351.76356
210	14315.41008
211	14292.04883
212	14247.5227
213	14229.90325
214	14194.19688
215	14162.80502
216	14158.9297
217	14141.69145
218	14110.38545
219	14058.10478
220	14019.28778
221	14001.51121
222	13984.22398
223	13943.47474
224	13939.88188
225	13917.66594
226	13897.68405
227	13880.02211
228	13847.90536
229	13833.95718
230	13792.07313
231	13755.86394
232	13736.4216
233	13726.48824
234	13707.60212
235	13672.33103
236	13634.0978
237	13601.0592
238	13597.98573
239	13594.86559
240	13556.81428
241	13514.87748
242	13473.28832
243	13452.61065
244	13449.70735
245	13429.00985
246	13394.57246
247	13391.75454
248	13358.45735
249	13329.61931
250	13304.40762
251	13286.65202
252	13280.99436
253	13256.9263
254	13225.83653
255	13207.69832
256	13204.96079
257	13188.29136
258	13155.82141
259	13126.61041
260	13094.95245
261	13081.72866
262	13053.75569
263	13026.39022
264	13014.75991
265	12988.83889
266	12976.51381
267	12941.75314
268	12912.87008
269	12907.33562
270	12872.71042
271	12848.11164
272	12823.14754
273	12783.18252
274	12780.46497
275	12731.65301
276	12719.98906
277	12695.85622
278	12674.10702
279	12650.29926
280	12623.54381
281	12608.97039
282	12598.21926
283	12570.78238
284	12545.7478
285	12519.12911
286	12497.10549
287	12479.74896
288	12457.75897
289	12441.3587
290	12416.2248
291	12389.41015
292	12362.59545
293	12355.19854
294	12335.81319
295	12316.85571
296	12287.76665
297	12266.34431
298	12255.67602
299	12244.87172
