iter	Passed	Remaining
0	3	944
1	6	915
2	9	921
3	12	940
4	15	936
5	18	926
6	21	908
7	24	903
8	27	904
9	30	897
10	33	890
11	36	885
12	39	882
13	43	882
14	46	877
15	49	872
16	52	867
17	55	864
18	57	857
19	60	853
20	63	846
21	66	845
22	69	839
23	72	836
24	75	833
25	78	828
26	81	826
27	84	822
28	87	818
29	90	817
30	93	812
31	96	807
32	99	802
33	102	798
34	104	793
35	107	789
36	110	784
37	113	781
38	116	777
39	118	772
40	121	768
41	124	764
42	127	759
43	129	754
44	132	750
45	135	746
46	138	743
47	140	738
48	143	734
49	146	730
50	148	726
51	151	722
52	154	717
53	156	714
54	159	709
55	161	705
56	164	701
57	167	698
58	170	695
59	172	691
60	175	687
61	178	683
62	180	679
63	183	676
64	186	673
65	188	670
66	191	666
67	194	662
68	197	659
69	199	656
70	202	653
71	205	649
72	208	646
73	210	644
74	213	640
75	216	637
76	219	634
77	222	631
78	225	629
79	228	627
80	230	624
81	234	622
82	237	619
83	239	616
84	242	613
85	245	610
86	248	607
87	251	605
88	254	602
89	257	599
90	259	596
91	262	593
92	265	590
93	268	587
94	271	584
95	274	583
96	277	580
97	280	577
98	283	574
99	285	571
100	288	568
101	291	566
102	294	563
103	297	561
104	300	558
105	303	555
106	306	553
107	309	550
108	312	547
109	315	545
110	318	542
111	321	539
112	324	536
113	327	533
114	329	530
115	332	527
116	335	525
117	338	522
118	341	519
119	344	517
120	347	514
121	350	511
122	353	508
123	356	505
124	359	502
125	361	499
126	364	497
127	367	494
128	370	491
129	373	488
130	376	485
131	379	482
132	382	479
133	384	476
134	388	474
135	390	471
136	393	468
137	396	465
138	399	463
139	402	460
140	405	457
141	408	454
142	411	452
143	414	449
144	417	446
145	420	443
146	422	440
147	425	437
148	428	434
149	431	431
150	434	428
151	437	426
152	440	423
153	443	420
154	445	417
155	448	414
156	451	411
157	454	408
158	457	405
159	459	402
160	462	399
161	466	396
162	468	394
163	471	391
164	474	388
165	477	385
166	480	382
167	483	380
168	486	377
169	489	374
170	492	371
171	495	368
172	498	365
173	501	362
174	503	359
175	506	357
176	509	354
177	512	351
178	515	348
179	518	345
180	521	342
181	524	339
182	527	336
183	529	334
184	532	331
185	535	328
186	538	325
187	541	322
188	544	319
189	547	316
190	550	313
191	553	311
192	556	308
193	558	305
194	561	302
195	564	299
196	567	296
197	570	293
198	573	290
199	576	288
200	578	285
201	581	282
202	584	279
203	587	276
204	590	273
205	593	270
206	596	267
207	599	264
208	602	262
209	604	259
210	607	256
211	610	253
212	613	250
213	616	247
214	619	244
215	622	242
216	625	239
217	628	236
218	630	233
219	633	230
220	636	227
221	639	224
222	642	221
223	645	219
224	648	216
225	651	213
226	654	210
227	657	207
228	660	204
229	663	201
230	666	199
231	669	196
232	672	193
233	675	190
234	677	187
235	680	184
236	683	181
237	686	178
238	689	175
239	692	173
240	695	170
241	698	167
242	701	164
243	704	161
244	707	158
245	710	155
246	713	153
247	716	150
248	719	147
249	722	144
250	725	141
251	727	138
252	730	135
253	733	132
254	736	129
255	739	127
256	742	124
257	745	121
258	748	118
259	751	115
260	754	112
261	756	109
262	759	106
263	762	103
264	765	101
265	768	98
266	771	95
267	774	92
268	777	89
269	780	86
270	783	83
271	786	80
272	788	78
273	791	75
274	794	72
275	797	69
276	800	66
277	803	63
278	806	60
279	809	57
280	811	54
281	814	52
282	817	49
283	820	46
284	823	43
285	826	40
286	829	37
287	832	34
288	835	31
289	837	28
290	840	26
291	843	23
292	846	20
293	849	17
294	852	14
295	855	11
296	858	8
297	861	5
298	864	2
299	867	0
